"filename", "language", "TypeScript JSX", "Markdown", "CSS", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "Properties", "MS SQL", "XML", "comment", "blank", "total"
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\layout.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\loading.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\page.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 64
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\products\[productId]\page.tsx", "TypeScript JSX", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 114
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\products\[productId]\place-order\page.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\products\page.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\services\page.tsx", "TypeScript JSX", 564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52, 617
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(personal)\cart\page.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(personal)\layout.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(personal)\orders\page.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(personal)\profile\page.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\globals.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\layout.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 40
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\loading.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\page.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\test\page.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Logo\index.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\AddInstallerModal.tsx", "TypeScript JSX", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 164
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\AddServiceModal.tsx", "TypeScript JSX", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 82
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\AssignInstallerModal.tsx", "TypeScript JSX", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 179
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\BookingConfirmation.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
